"","id","enrollment_data_score","retention_data_score","price_data_score","ratio_data_score","enrollment_trend","price_trend","retention_trend","ratio_trend","total"
"1",100690,0,1,1,0,0,2,2,0,4
"2",100937,0,0,0,0,0,0,0,0,0
"3",101073,1,1,0,1,0,0,2,2,4
"4",101189,0,1,1,0,1,0,0,0,1
"5",101365,0,1,0,1,NA,NA,NA,NA,NA
"6",101435,0,1,0,0,0,0,0,0,0
"7",101453,1,1,1,0,0,2,0,0,2
"8",101541,0,1,1,0,0,2,0,0,2
"9",101675,0,1,0,0,1,0,2,0,3
"10",101693,0,0,0,0,0,0,0,0,0
"11",101912,0,0,0,0,1,0,0,0,1
"12",102049,0,0,0,0,0,0,0,0,0
"13",102058,1,1,0,1,NA,NA,NA,NA,NA
"14",102234,0,0,0,0,0,0,0,0,0
"15",102270,1,1,1,0,2,2,2,0,6
"16",102298,1,1,1,1,1,0,0,2,3
"17",102377,1,0,0,0,2,0,0,0,2
"18",102580,1,1,0,0,2,0,0,0,2
"19",102669,0,1,1,0,0,2,0,0,2
"20",103945,1,1,0,1,NA,NA,NA,NA,NA
"21",104586,0,0,1,1,NA,NA,NA,NA,NA
"22",105589,1,0,1,0,2,2,0,0,4
"23",105899,0,1,1,1,0,0,0,1,1
"24",106306,1,1,1,1,NA,NA,NA,NA,NA
"25",106342,0,1,0,0,0,0,0,0,0
"26",106713,1,1,0,0,1,0,0,0,1
"27",106810,1,1,0,0,1,0,2,1,4
"28",107044,0,0,0,0,0,0,0,0,0
"29",107080,0,0,0,0,1,0,0,0,1
"30",107141,0,0,0,0,0,0,0,0,0
"31",107512,0,0,0,0,0,0,0,0,0
"32",107558,0,1,0,0,0,0,0,0,0
"33",107600,1,1,0,1,0,0,0,1,1
"34",107877,0,1,0,0,0,0,0,0,0
"35",109651,0,0,0,0,0,0,0,0,0
"36",109785,0,0,0,0,1,0,0,0,1
"37",110060,1,1,1,1,NA,NA,NA,NA,NA
"38",110097,0,0,0,0,0,0,0,0,0
"39",110361,0,0,0,0,0,0,0,0,0
"40",110370,0,0,0,0,0,0,0,1,1
"41",110404,0,0,1,0,0,0,0,0,0
"42",110413,0,0,0,0,0,0,0,0,0
"43",110918,1,1,1,1,2,0,2,0,4
"44",111081,0,0,0,0,0,0,0,0,0
"45",111948,0,0,0,0,0,0,0,0,0
"46",111966,1,1,1,0,0,0,0,0,0
"47",112075,0,0,0,0,0,0,0,0,0
"48",112084,1,1,0,0,2,0,0,0,2
"49",112260,0,0,0,0,0,0,0,0,0
"50",112570,0,0,0,1,NA,NA,NA,NA,NA
"51",113537,0,1,1,1,NA,NA,NA,NA,NA
"52",113698,0,0,0,0,0,0,0,0,0
"53",114813,0,0,0,0,1,0,0,0,1
"54",115409,0,0,0,0,0,0,0,0,0
"55",115728,1,0,0,0,0,0,0,0,0
"56",115773,1,0,1,0,2,2,0,0,4
"57",116846,1,1,1,0,2,2,0,0,4
"58",117104,0,1,1,0,0,0,0,0,0
"59",117140,0,0,0,0,0,0,0,0,0
"60",117168,0,0,0,0,0,0,0,0,0
"61",117557,1,0,0,1,NA,NA,NA,NA,NA
"62",117575,1,1,0,0,2,0,2,0,4
"63",117627,0,0,0,0,2,0,0,0,2
"64",117751,1,0,0,0,0,0,0,0,0
"65",117946,0,0,0,0,0,0,0,0,0
"66",118541,1,1,0,0,2,0,2,0,4
"67",118693,0,0,1,0,0,0,0,0,0
"68",118888,0,0,1,0,1,2,0,0,3
"69",119173,0,0,0,0,0,0,0,0,0
"70",119605,1,1,1,0,2,0,2,0,4
"71",120184,0,0,0,0,0,0,0,0,0
"72",120254,0,0,0,0,0,0,0,0,0
"73",120403,0,0,0,0,0,0,0,0,0
"74",120537,1,0,1,0,2,0,0,0,2
"75",120838,1,0,1,1,NA,NA,NA,NA,NA
"76",120865,1,0,1,0,2,1,0,0,3
"77",120883,0,0,0,0,0,0,0,0,0
"78",121150,0,0,0,0,0,0,0,0,0
"79",121257,0,0,0,0,0,0,0,0,0
"80",121309,0,0,0,0,0,0,0,0,0
"81",121345,0,0,1,0,0,1,0,0,1
"82",121691,0,0,0,0,0,0,0,0,0
"83",122436,0,0,0,0,0,0,0,0,0
"84",122454,1,1,0,0,2,0,2,0,4
"85",122506,0,0,0,0,0,0,0,1,1
"86",122612,0,0,0,0,0,0,0,0,0
"87",122728,0,0,0,0,0,0,0,0,0
"88",122931,0,0,0,0,0,0,0,0,0
"89",123165,0,0,0,0,0,0,0,0,0
"90",123280,1,0,1,1,NA,NA,NA,NA,NA
"91",123457,1,0,0,0,2,0,0,0,2
"92",123554,0,0,0,0,0,0,0,0,0
"93",123651,0,0,0,0,0,1,0,0,1
"94",123952,0,0,0,1,NA,NA,NA,NA,NA
"95",123961,0,0,0,0,0,0,0,0,0
"96",124292,0,0,0,0,0,0,0,0,0
"97",124487,1,1,1,1,NA,NA,NA,NA,NA
"98",125727,0,0,0,0,0,0,0,0,0
"99",125763,0,0,0,1,NA,NA,NA,NA,NA
"100",125897,0,0,0,0,0,0,0,0,0
"101",126076,0,1,1,1,NA,NA,NA,NA,NA
"102",126669,0,0,0,0,0,0,0,0,0
"103",126678,0,0,0,0,0,0,0,0,0
"104",127060,0,0,0,0,0,0,0,0,0
"105",127653,1,1,0,0,2,0,0,0,2
"106",127714,1,1,1,0,2,0,0,0,2
"107",127918,0,0,1,0,0,0,0,0,0
"108",127954,0,0,1,1,NA,NA,NA,NA,NA
"109",128498,0,0,0,0,0,0,0,0,0
"110",128586,1,1,1,1,NA,NA,NA,NA,NA
"111",128744,0,1,1,0,0,0,0,0,0
"112",128902,0,0,0,0,0,0,0,0,0
"113",129154,1,1,1,0,2,2,0,0,4
"114",129242,0,0,0,0,0,0,0,0,0
"115",129525,0,0,0,0,0,0,0,0,0
"116",129534,1,1,1,1,NA,NA,NA,NA,NA
"117",129774,1,1,1,0,2,1,0,0,3
"118",129941,0,0,0,0,0,0,0,0,0
"119",130226,0,0,0,0,0,0,0,0,0
"120",130253,0,0,0,0,0,0,0,0,0
"121",130314,0,0,0,0,0,0,0,0,0
"122",130448,0,1,0,0,0,0,2,1,3
"123",130590,0,0,0,0,0,0,0,0,0
"124",130697,0,0,1,0,0,0,0,0,0
"125",130794,0,0,1,0,0,1,0,0,1
"126",130989,0,0,1,0,0,2,0,0,2
"127",131098,1,1,1,0,2,2,0,0,4
"128",131113,0,1,1,0,0,0,0,0,0
"129",131159,0,0,0,0,0,0,0,0,0
"130",131283,0,0,0,0,0,0,0,0,0
"131",131450,0,0,0,0,0,0,0,0,0
"132",131469,0,0,0,0,0,0,0,0,0
"133",131496,0,0,1,0,0,0,0,0,0
"134",131520,0,0,0,0,0,0,0,0,0
"135",131876,0,1,1,0,1,0,0,0,1
"136",132408,1,0,1,0,2,0,0,0,2
"137",132471,1,1,0,0,1,0,0,0,1
"138",132602,0,0,1,0,0,1,0,0,1
"139",132657,0,0,0,0,0,0,0,0,0
"140",132842,0,1,1,1,NA,NA,NA,NA,NA
"141",132879,1,1,1,0,2,2,2,0,6
"142",133492,0,0,0,0,0,0,0,0,0
"143",133526,0,1,1,0,0,1,0,0,1
"144",133553,0,0,1,0,0,2,0,0,2
"145",133711,0,0,0,0,0,0,0,0,0
"146",133809,0,0,0,0,0,0,0,0,0
"147",133872,0,1,0,0,0,0,0,0,0
"148",133881,0,0,0,0,0,0,0,0,0
"149",133979,0,1,0,0,1,0,2,1,4
"150",134079,0,0,0,0,0,0,0,0,0
"151",134510,0,0,0,0,0,0,0,0,0
"152",134945,0,1,0,0,0,0,0,0,0
"153",135081,1,0,0,1,NA,NA,NA,NA,NA
"154",135364,1,1,1,0,2,2,2,0,6
"155",135610,0,0,1,0,2,2,0,0,4
"156",135726,0,0,0,0,0,0,0,0,0
"157",136215,0,0,0,0,0,0,0,0,0
"158",136330,0,0,0,0,0,0,0,0,0
"159",136774,0,0,0,0,0,0,0,0,0
"160",136950,0,0,0,0,0,0,0,0,0
"161",137032,0,0,0,0,0,0,0,0,0
"162",137272,1,1,1,1,NA,NA,NA,NA,NA
"163",137476,0,1,0,0,0,0,0,0,0
"164",137546,0,0,0,0,0,0,0,0,0
"165",137564,0,0,0,0,0,0,0,0,0
"166",137777,1,1,1,1,NA,NA,NA,NA,NA
"167",137847,0,0,0,0,0,0,0,0,0
"168",137953,0,1,0,1,NA,NA,NA,NA,NA
"169",137962,0,1,0,1,0,0,2,2,4
"170",138275,0,1,0,0,0,0,0,0,0
"171",138293,0,1,0,0,0,0,2,0,2
"172",138600,0,0,0,0,0,0,0,0,0
"173",138761,0,1,0,0,2,0,2,0,4
"174",138868,0,1,1,1,0,2,2,1,5
"175",138947,0,1,0,0,0,0,0,0,0
"176",139144,0,0,0,0,0,0,0,0,0
"177",139153,1,1,0,1,NA,NA,NA,NA,NA
"178",139199,0,1,0,0,0,0,2,0,2
"179",139205,0,1,1,1,0,0,2,1,3
"180",139287,1,1,1,1,NA,NA,NA,NA,NA
"181",139393,0,0,0,0,1,0,0,0,1
"182",139630,0,1,0,1,0,0,0,2,2
"183",139658,1,0,0,0,2,0,0,0,2
"184",140234,0,1,0,0,0,0,0,0,0
"185",140252,0,1,0,1,NA,NA,NA,NA,NA
"186",140340,0,1,0,1,NA,NA,NA,NA,NA
"187",140447,0,0,0,0,0,0,0,0,0
"188",140553,0,0,0,0,0,0,0,0,0
"189",140696,0,0,0,1,0,0,0,0,0
"190",140720,1,1,1,1,2,0,2,0,4
"191",140818,0,0,0,0,0,0,2,1,3
"192",140872,0,1,1,0,0,0,0,1,1
"193",140951,0,0,0,0,0,0,0,0,0
"194",140988,1,1,0,1,2,0,2,0,4
"195",141060,0,0,0,0,0,0,0,0,0
"196",141167,1,1,0,0,2,0,2,0,4
"197",141185,0,0,0,0,0,0,0,0,0
"198",141237,0,1,0,1,0,0,0,2,2
"199",141325,0,0,1,0,0,0,0,0,0
"200",141361,0,1,0,0,1,0,0,1,2
"201",141486,1,0,0,0,2,0,0,0,2
"202",141644,0,0,0,0,0,0,0,0,0
"203",142090,1,1,0,0,2,0,0,0,2
"204",142294,0,0,0,0,0,0,0,0,0
"205",142461,0,0,0,0,0,0,0,0,0
"206",142522,0,0,1,0,0,2,0,0,2
"207",142887,1,0,1,1,NA,NA,NA,NA,NA
"208",143048,0,0,0,1,NA,NA,NA,NA,NA
"209",143084,0,0,0,0,0,0,0,0,0
"210",143118,0,0,0,0,0,0,0,1,1
"211",143288,0,1,0,0,0,0,0,0,0
"212",143358,0,0,0,0,0,0,0,0,0
"213",144050,0,0,0,0,0,0,0,0,0
"214",144281,1,0,0,0,2,0,0,0,2
"215",144351,0,1,0,0,0,0,0,0,0
"216",144740,0,0,0,0,0,0,0,0,0
"217",144883,1,1,1,1,NA,NA,NA,NA,NA
"218",144962,1,0,1,0,1,0,0,0,1
"219",144971,0,1,0,0,1,0,0,0,1
"220",145372,1,0,0,0,2,0,0,0,2
"221",145497,1,1,0,1,NA,NA,NA,NA,NA
"222",145619,0,0,0,1,2,0,0,0,2
"223",145646,0,0,0,0,1,0,0,0,1
"224",145691,0,0,0,0,0,0,0,0,0
"225",145725,0,0,0,0,0,0,0,0,0
"226",146339,0,0,0,0,0,0,0,0,0
"227",146427,0,0,0,0,0,0,0,0,0
"228",146481,0,0,0,0,1,0,0,0,1
"229",146612,0,0,0,1,NA,NA,NA,NA,NA
"230",146667,1,0,0,0,2,0,0,0,2
"231",146676,1,1,1,0,2,2,2,0,6
"232",146719,0,0,0,0,0,0,0,0,0
"233",146755,1,0,1,1,NA,NA,NA,NA,NA
"234",146825,0,0,0,0,0,0,0,0,0
"235",147013,0,0,0,0,0,0,0,0,0
"236",147129,1,0,0,1,NA,NA,NA,NA,NA
"237",147244,0,0,0,0,0,0,0,0,0
"238",147341,1,0,0,0,2,0,0,0,2
"239",147369,1,0,0,0,2,0,0,0,2
"240",147536,0,1,0,0,0,0,0,0,0
"241",147660,0,0,0,0,0,0,0,0,0
"242",147679,0,0,1,0,0,0,0,0,0
"243",147767,0,0,0,0,0,0,0,0,0
"244",147828,0,0,0,0,0,0,0,0,0
"245",148016,1,0,0,0,2,1,0,0,3
"246",148131,0,0,0,0,0,0,0,0,0
"247",148335,1,1,0,0,2,0,2,1,5
"248",148405,1,1,0,0,0,0,0,0,0
"249",148487,1,1,1,0,2,1,0,0,3
"250",148496,0,0,0,0,0,0,0,0,0
"251",148584,0,0,0,0,0,0,0,0,0
"252",148627,0,0,1,0,0,2,0,0,2
"253",148876,1,1,0,1,2,0,2,2,6
"254",149028,0,0,0,0,NA,NA,NA,NA,NA
"255",149329,0,0,1,1,NA,NA,NA,NA,NA
"256",149505,1,0,0,0,2,0,0,0,2
"257",149514,0,1,0,0,0,0,2,0,2
"258",149639,1,0,1,1,NA,NA,NA,NA,NA
"259",149781,0,0,0,0,0,0,0,0,0
"260",150066,1,0,0,0,2,0,0,0,2
"261",150145,0,0,0,0,0,0,0,0,0
"262",150163,0,0,0,0,0,0,0,0,0
"263",150172,0,1,0,0,1,0,2,0,3
"264",150400,0,0,0,0,0,0,0,0,0
"265",150455,0,0,0,0,0,0,0,0,0
"266",150534,0,0,0,0,2,0,0,0,2
"267",150604,0,0,0,0,0,0,0,0,0
"268",150668,0,0,1,0,0,1,0,0,1
"269",150677,0,0,0,0,0,0,0,0,0
"270",150756,0,0,0,0,0,0,0,0,0
"271",150774,0,1,1,1,0,0,2,0,2
"272",150941,0,0,0,0,0,0,0,0,0
"273",151263,0,0,0,0,0,0,0,0,0
"274",151290,0,1,1,0,0,1,0,0,1
"275",151777,0,1,0,0,0,0,2,0,2
"276",151786,0,0,0,0,0,0,0,0,0
"277",151801,1,0,1,0,2,2,0,0,4
"278",151810,1,1,1,1,NA,NA,NA,NA,NA
"279",151962,0,0,0,1,NA,NA,NA,NA,NA
"280",152080,0,0,0,0,0,0,0,0,0
"281",152099,0,1,0,0,0,0,0,0,0
"282",152318,0,0,0,0,0,0,0,0,0
"283",152336,0,0,1,0,0,1,0,0,1
"284",152381,0,0,1,0,0,2,0,0,2
"285",152390,0,0,1,0,0,1,0,0,1
"286",152530,0,0,0,0,0,0,0,0,0
"287",152567,0,0,0,0,0,0,0,0,0
"288",152600,0,0,0,0,0,0,0,0,0
"289",152673,1,0,1,0,1,0,0,0,1
"290",152798,0,0,0,0,NA,NA,NA,NA,NA
"291",152992,1,1,0,0,2,0,0,0,2
"292",153001,0,0,0,0,0,0,0,0,0
"293",153108,1,0,0,0,2,0,0,0,2
"294",153126,0,0,0,0,0,0,0,0,0
"295",153144,0,0,0,0,0,0,0,0,0
"296",153162,1,0,0,0,1,0,0,0,1
"297",153241,1,0,1,0,2,0,0,0,2
"298",153250,0,0,0,0,0,0,0,0,0
"299",153269,0,0,0,0,0,0,0,0,0
"300",153278,0,0,0,0,0,0,0,0,0
"301",153302,1,1,1,0,1,0,0,1,2
"302",153320,0,0,1,0,0,1,0,0,1
"303",153366,0,1,0,0,0,0,0,0,0
"304",153375,1,0,0,0,0,0,0,0,0
"305",153384,0,0,0,0,0,0,0,0,0
"306",153621,0,1,1,0,0,0,0,0,0
"307",153825,0,0,1,0,0,2,0,0,2
"308",153834,0,0,0,0,1,0,0,0,1
"309",153861,1,0,0,0,2,0,2,1,5
"310",153977,1,1,0,0,2,0,0,0,2
"311",154004,0,0,0,0,0,0,0,0,0
"312",154013,0,0,1,0,0,2,0,0,2
"313",154101,0,0,0,0,1,0,0,0,1
"314",154174,0,0,0,0,NA,NA,NA,NA,NA
"315",154235,0,0,0,0,1,0,0,0,1
"316",154262,0,0,0,1,NA,NA,NA,NA,NA
"317",154350,0,0,0,0,1,0,0,0,1
"318",154493,0,1,0,0,0,0,0,0,0
"319",154527,0,0,0,0,1,0,0,0,1
"320",154590,0,1,0,0,0,0,2,0,2
"321",154688,0,0,1,0,0,0,0,0,0
"322",154712,0,0,0,0,0,0,0,0,0
"323",154721,0,1,0,1,0,0,2,2,4
"324",154749,0,1,0,0,0,0,2,0,2
"325",154855,0,1,1,1,0,2,2,2,6
"326",155007,1,1,1,0,2,1,0,0,3
"327",155070,0,1,0,0,0,0,2,0,2
"328",155089,1,0,0,0,2,0,0,0,2
"329",155177,1,0,0,0,2,0,0,0,2
"330",155335,0,0,1,0,0,2,0,0,2
"331",155414,0,1,0,0,0,0,0,0,0
"332",155496,0,1,1,0,0,0,2,0,2
"333",155511,0,1,0,0,0,0,0,0,0
"334",155520,0,0,0,0,0,0,0,0,0
"335",155627,0,1,0,0,0,0,0,0,0
"336",155812,0,1,1,0,0,0,0,1,1
"337",155900,1,1,0,0,0,0,0,0,0
"338",155937,0,1,0,0,0,0,2,0,2
"339",155973,0,1,0,0,0,0,0,0,0
"340",156189,0,1,0,0,0,0,0,0,0
"341",156213,0,0,0,0,0,0,0,0,0
"342",156286,0,0,0,0,0,0,0,0,0
"343",156295,0,0,1,0,0,2,0,1,3
"344",156356,0,1,1,0,0,0,0,0,0
"345",156365,0,1,0,0,0,0,0,0,0
"346",156408,0,0,0,0,0,0,0,0,0
"347",156417,1,1,1,0,1,0,2,0,3
"348",156541,0,1,0,0,0,0,0,1,1
"349",156745,1,0,0,0,1,0,0,0,1
"350",157030,0,1,0,0,0,0,0,0,0
"351",157076,0,1,0,0,0,0,0,0,0
"352",157100,1,1,0,0,2,0,0,0,2
"353",157216,0,1,1,0,0,0,0,0,0
"354",157377,1,0,0,0,0,0,0,0,0
"355",157535,1,1,1,1,2,0,0,1,3
"356",157748,0,0,0,0,0,0,0,0,0
"357",157757,0,0,1,0,0,0,0,0,0
"358",157809,0,0,0,0,0,1,0,0,1
"359",157818,0,0,0,0,0,0,0,0,0
"360",157863,0,1,0,0,0,0,0,0,0
"361",158477,1,0,0,0,2,0,0,0,2
"362",158802,0,0,0,0,0,0,0,0,0
"363",159568,1,1,0,0,2,0,2,0,4
"364",159656,1,0,0,0,1,0,0,0,1
"365",159948,0,1,0,0,1,0,0,0,1
"366",160065,0,0,1,0,0,2,0,0,2
"367",160074,0,1,0,0,1,0,0,0,1
"368",160409,0,0,0,1,NA,NA,NA,NA,NA
"369",160755,0,0,0,0,0,0,0,0,0
"370",160904,0,0,1,0,0,1,0,0,1
"371",160959,0,0,0,0,0,0,0,0,0
"372",160977,0,0,0,0,0,0,0,0,0
"373",161004,0,0,1,0,0,0,0,0,0
"374",161022,1,1,1,0,0,0,0,0,0
"375",161086,0,0,0,0,0,0,0,0,0
"376",161457,0,0,0,0,0,0,0,0,0
"377",161509,0,0,0,0,0,0,0,0,0
"378",161518,1,0,0,0,2,0,0,0,2
"379",161563,0,0,0,0,0,0,0,0,0
"380",161572,0,0,0,0,0,0,0,0,0
"381",162061,0,0,1,0,0,0,0,0,0
"382",162210,1,0,0,1,2,0,0,1,3
"383",162654,0,0,0,0,0,0,0,0,0
"384",162760,1,0,0,0,2,0,0,0,2
"385",162928,0,0,1,0,0,0,0,0,0
"386",163046,0,0,0,0,0,0,0,0,0
"387",163295,0,0,0,0,1,0,0,0,1
"388",163462,1,0,0,0,0,0,0,0,0
"389",163532,1,0,1,1,NA,NA,NA,NA,NA
"390",163578,1,0,0,0,0,0,0,0,0
"391",163976,1,0,0,0,1,0,0,0,1
"392",164173,1,0,0,0,2,0,0,0,2
"393",164216,0,0,0,0,1,0,0,0,1
"394",164270,0,0,0,0,0,0,0,0,0
"395",164447,0,1,1,0,0,0,0,0,0
"396",164465,0,0,1,0,0,0,0,0,0
"397",164492,0,1,0,0,0,0,0,0,0
"398",164562,0,0,0,0,0,0,0,0,0
"399",164580,0,0,1,0,0,0,0,0,0
"400",164614,1,1,0,1,NA,NA,NA,NA,NA
"401",164632,0,0,1,0,0,1,0,0,1
"402",164720,0,0,0,0,1,0,0,0,1
"403",164739,0,0,0,0,0,0,0,0,0
"404",164748,0,0,0,0,0,0,0,0,0
"405",164872,1,1,0,0,0,0,0,0,0
"406",164924,0,0,0,0,0,0,0,0,0
"407",164988,0,0,0,0,1,0,0,0,1
"408",165015,0,0,0,0,0,0,0,0,0
"409",165167,1,1,1,0,2,0,0,0,2
"410",165334,0,0,0,0,0,0,0,0,0
"411",165529,0,0,0,0,0,0,0,0,0
"412",165574,1,1,0,0,2,0,0,0,2
"413",165644,0,0,1,0,2,1,0,0,3
"414",165662,0,0,0,0,0,0,0,0,0
"415",165671,0,0,0,0,0,0,0,0,0
"416",165699,0,0,0,0,0,0,0,0,0
"417",165802,1,1,0,1,NA,NA,NA,NA,NA
"418",165936,0,0,0,0,0,0,0,0,0
"419",166018,0,0,0,0,1,0,0,0,1
"420",166027,0,0,1,0,0,1,0,0,1
"421",166054,1,1,0,0,2,0,0,1,3
"422",166124,0,0,0,0,0,0,0,0,0
"423",166391,0,0,1,0,0,0,0,0,0
"424",166452,0,0,0,0,0,0,0,0,0
"425",166489,0,1,0,0,0,0,0,0,0
"426",166656,0,0,0,0,0,0,0,0,0
"427",166683,0,0,0,0,0,0,0,0,0
"428",166850,0,0,0,0,0,0,0,0,0
"429",166911,1,0,0,0,2,0,0,0,2
"430",166939,0,0,0,0,0,0,0,0,0
"431",167057,0,0,0,0,0,0,0,0,0
"432",167251,1,1,1,0,2,2,2,1,7
"433",167260,0,1,0,1,0,0,0,1,1
"434",167358,0,0,1,0,0,1,0,0,1
"435",167394,0,0,0,0,2,0,0,1,3
"436",167455,0,1,1,0,0,0,0,0,0
