"","id","enrollment_data_score","retention_data_score","price_data_score","appropriation_data_score","enrollment_trend","price_trend","retention_trend","appropriations_trend","total"
"1",100654,0,1,0,0,0,0,2,0,2
"2",100663,0,0,0,0,0,0,0,0,0
"3",100706,0,0,1,0,0,0,0,0,0
"4",100724,0,1,0,1,2,0,1,1,4
"5",100751,0,0,0,0,0,0,0,0,0
"6",100830,1,1,1,0,2,0,0,1,3
"7",100858,0,0,0,0,0,0,0,0,0
"8",101480,1,0,0,0,2,0,0,0,2
"9",101587,0,1,1,0,0,0,0,0,0
"10",101709,0,0,0,0,0,0,0,0,0
"11",101879,0,0,0,0,0,0,0,0,0
"12",102094,0,0,0,0,0,0,0,0,0
"13",102368,1,0,1,0,2,0,0,0,2
"14",102553,1,0,1,0,2,0,0,0,2
"15",102614,1,0,1,0,2,2,0,0,4
"16",102632,1,1,1,0,2,0,0,1,3
"17",104151,1,0,0,1,1,0,0,2,3
"18",104179,0,0,0,1,0,0,0,2,2
"19",105297,1,0,1,0,2,2,2,0,6
"20",105330,0,0,0,1,0,0,0,2,2
"21",106245,1,0,0,0,2,0,0,0,2
"22",106397,0,0,0,0,0,0,0,0,0
"23",106412,1,1,1,0,1,0,0,0,1
"24",106458,0,0,0,0,0,0,0,0,0
"25",106467,0,0,0,0,0,0,0,0,0
"26",106485,1,1,0,0,2,0,0,0,2
"27",106704,0,0,0,0,0,0,0,0,0
"28",107071,1,1,0,0,1,0,0,0,1
"29",107983,0,1,0,0,0,0,0,0,0
"30",108092,1,1,1,0,2,0,0,0,2
"31",109350,0,0,1,0,2,2,0,0,4
"32",109819,0,0,0,0,0,0,0,0,0
"33",110422,0,0,0,1,0,0,0,0,0
"34",110486,0,0,1,1,0,0,0,0,0
"35",110495,0,0,1,1,0,0,0,0,0
"36",110510,0,0,1,1,0,0,0,0,0
"37",110529,0,0,0,1,0,0,0,0,0
"38",110538,0,0,0,1,0,0,0,0,0
"39",110547,0,0,1,1,0,0,0,0,0
"40",110556,0,0,1,1,0,0,0,0,0
"41",110565,0,0,0,1,0,0,0,0,0
"42",110574,0,0,1,1,0,0,0,0,0
"43",110583,0,0,0,1,0,0,0,0,0
"44",110592,0,0,1,1,0,0,0,0,0
"45",110608,0,0,1,1,0,2,0,0,2
"46",110617,0,0,1,1,0,0,0,0,0
"47",110635,0,0,0,1,0,0,0,0,0
"48",110644,0,0,0,1,0,0,0,0,0
"49",110653,0,0,1,1,0,0,0,0,0
"50",110662,0,0,1,1,0,0,0,0,0
"51",110671,0,0,1,1,0,0,0,0,0
"52",110680,0,0,0,1,0,0,0,0,0
"53",110705,0,0,1,1,0,0,0,0,0
"54",110714,0,0,1,1,0,0,0,0,0
"55",111188,0,0,1,0,0,0,0,0,0
"56",113236,0,0,0,0,1,0,0,0,1
"57",114433,0,1,1,0,1,0,0,0,1
"58",114716,0,0,1,1,0,2,0,2,4
"59",115755,0,0,0,1,1,0,0,0,1
"60",118912,0,0,0,0,1,0,0,0,1
"61",118976,0,0,0,1,0,0,0,2,2
"62",121619,0,0,1,0,0,0,0,2,2
"63",121886,1,0,1,1,2,0,0,0,2
"64",122375,1,0,0,0,2,0,0,0,2
"65",122409,0,0,0,1,0,0,0,0,0
"66",122597,0,0,1,1,0,0,0,0,0
"67",122755,0,0,1,1,0,0,0,0,0
"68",122977,0,0,0,1,0,0,1,0,1
"69",123299,0,1,1,1,0,2,1,2,5
"70",123509,0,0,0,0,0,0,0,0,0
"71",123563,1,0,1,1,0,2,0,0,2
"72",123572,0,0,0,1,0,0,0,0,0
"73",125471,0,1,1,1,0,2,0,0,2
"74",126182,1,1,1,1,2,0,1,2,5
"75",126289,1,1,1,1,2,2,0,2,6
"76",126562,0,0,1,1,0,2,0,0,2
"77",126580,0,0,1,1,0,0,0,2,2
"78",126614,0,0,0,1,0,0,0,2,2
"79",126711,1,1,1,0,2,2,2,0,6
"80",126775,0,0,0,1,0,0,0,2,2
"81",126818,0,0,0,1,0,0,0,2,2
"82",126942,1,1,1,1,2,2,2,2,8
"83",127185,0,1,0,1,1,0,1,2,4
"84",127556,0,0,1,1,1,0,0,2,3
"85",127565,0,1,0,1,0,0,1,2,3
"86",127741,0,0,1,1,1,0,0,2,3
"87",127820,1,1,1,1,2,2,2,2,8
"88",127884,1,1,1,1,2,0,2,2,6
"89",127909,1,1,1,1,2,2,2,2,8
"90",128106,1,1,0,1,2,0,0,2,4
"91",128328,0,0,NA,1,0,2,0,0,2
"92",128391,0,1,1,1,0,0,0,2,2
"93",128771,0,0,0,0,0,0,0,0,0
"94",128780,0,0,NA,0,NA,NA,NA,NA,NA
"95",129020,0,0,0,0,0,0,0,0,0
"96",129215,0,0,1,0,0,0,0,0,0
"97",130493,0,0,0,0,0,0,0,0,0
"98",130624,1,0,NA,1,0,2,0,2,4
"99",130776,0,0,1,1,0,0,0,0,0
"100",130907,1,1,0,0,0,0,0,0,0
"101",130934,1,0,1,0,1,1,0,0,2
"102",130943,0,0,0,1,0,0,0,2,2
"103",131399,0,1,1,0,1,0,0,0,1
"104",132693,0,0,0,0,2,0,2,2,6
"105",132903,0,0,0,0,0,0,0,0,0
"106",133650,1,0,0,1,2,0,0,0,2
"107",133669,0,0,1,1,0,2,0,0,2
"108",133951,0,0,1,0,0,0,0,0,0
"109",133960,1,1,1,0,2,2,0,0,4
"110",134097,0,0,0,0,0,0,0,0,0
"111",134130,0,0,1,0,0,0,0,0,0
"112",135160,0,0,0,0,NA,NA,NA,NA,NA
"113",135188,0,0,0,0,NA,NA,NA,NA,NA
"114",136145,1,0,1,0,0,0,0,0,0
"115",136172,0,0,0,1,0,0,0,0,0
"116",136400,0,1,0,0,2,0,0,0,2
"117",137315,0,0,0,0,NA,NA,NA,NA,NA
"118",137351,0,0,1,0,0,2,0,0,2
"119",137759,1,1,0,1,2,0,0,2,4
"120",138354,1,0,1,1,2,0,0,0,2
"121",138558,0,1,1,0,0,0,0,0,0
"122",138716,1,0,0,0,0,0,0,0,0
"123",138789,1,0,0,0,2,0,0,0,2
"124",138901,1,1,1,0,2,2,2,0,6
"125",139010,1,1,0,0,2,0,1,0,3
"126",139250,1,1,0,0,0,0,2,0,2
"127",139311,0,0,0,0,0,1,0,0,1
"128",139366,1,0,0,0,2,0,0,0,2
"129",139463,1,0,0,0,1,0,0,0,1
"130",139621,1,1,1,0,2,2,2,0,6
"131",139700,0,1,0,0,0,0,0,0,0
"132",139719,1,1,0,0,2,0,0,0,2
"133",139755,0,0,0,0,0,0,0,0,0
"134",139764,0,1,0,0,0,0,0,0,0
"135",139861,0,0,0,0,0,0,0,0,0
"136",139931,0,0,0,0,0,0,0,0,0
"137",139940,0,0,0,0,0,0,0,0,0
"138",139959,0,0,0,0,0,0,0,0,0
"139",139968,1,1,0,0,2,0,2,0,4
"140",140960,1,1,0,0,2,0,2,0,4
"141",141264,1,0,0,0,2,0,0,0,2
"142",141334,0,0,0,0,0,0,0,0,0
"143",141565,1,0,0,0,2,0,0,0,2
"144",141574,0,0,0,0,0,0,0,0,0
"145",141981,0,1,0,0,0,0,0,0,0
"146",142115,0,0,1,0,0,2,0,0,2
"147",142276,1,1,0,0,2,0,0,0,2
"148",142285,0,0,0,0,0,0,0,0,0
"149",142328,1,1,1,0,1,2,0,0,3
"150",144005,1,1,1,1,2,2,0,2,6
"151",144892,1,0,1,1,2,1,1,2,6
"152",145336,1,1,0,1,2,0,2,0,4
"153",145600,0,0,0,1,0,0,0,2,2
"154",145637,0,0,0,1,0,0,0,2,2
"155",145813,0,0,0,1,0,0,0,2,2
"156",147703,1,0,0,1,2,0,0,2,4
"157",147776,1,1,0,1,2,0,2,2,6
"158",148654,0,0,1,1,0,2,0,2,4
"159",149222,1,1,0,1,2,0,0,2,4
"160",149231,0,0,1,1,2,2,0,2,6
"161",149772,1,0,0,1,2,0,0,2,4
"162",150136,0,0,0,0,0,0,0,0,0
"163",151102,1,1,1,0,2,2,2,0,6
"164",151111,0,0,1,0,0,2,0,0,2
"165",151306,1,0,1,0,2,0,0,0,2
"166",151324,0,1,1,0,0,1,0,0,1
"167",151333,0,1,1,0,0,2,1,0,3
"168",151342,0,1,1,0,0,2,0,0,2
"169",151351,0,0,0,1,0,0,0,1,1
"170",151360,1,0,1,0,2,2,0,0,4
"171",151379,0,1,1,0,0,2,1,1,4
"172",151388,0,0,1,0,0,1,0,0,1
"173",152637,1,1,0,0,2,0,2,0,4
"174",153409,0,0,0,0,NA,NA,NA,NA,NA
"175",153418,0,0,0,0,NA,NA,NA,NA,NA
"176",153603,0,0,1,0,0,0,0,0,0
"177",153658,0,0,1,0,0,0,0,0,0
"178",154095,0,0,0,0,0,0,0,0,0
"179",155025,0,0,0,0,0,0,0,0,0
"180",155061,0,0,0,0,0,0,0,0,0
"181",155317,0,0,0,0,0,0,0,0,0
"182",155399,0,0,0,0,1,0,0,0,1
"183",155681,0,0,0,0,2,0,0,0,2
"184",156082,0,0,1,0,1,0,0,0,1
"185",156125,0,0,0,0,0,0,0,0,0
"186",156620,0,0,1,0,0,0,0,1,1
"187",157058,1,1,1,0,2,1,0,0,3
"188",157085,0,0,0,0,0,0,0,1,1
"189",157289,0,0,0,1,0,0,0,2,2
"190",157386,0,0,0,0,0,0,0,1,1
"191",157401,0,0,0,0,1,0,0,1,2
"192",157447,0,0,0,0,1,0,0,0,1
"193",157951,0,0,1,0,1,0,0,1,2
"194",159009,1,0,0,1,0,0,0,2,2
"195",159382,0,1,0,1,0,0,1,2,3
"196",159391,0,0,0,1,0,0,0,2,2
"197",159416,0,1,0,1,2,0,1,2,5
"198",159647,0,0,0,1,0,0,0,2,2
"199",159717,0,0,0,1,0,0,0,2,2
"200",159939,1,1,0,1,1,0,0,2,3
"201",159966,0,0,0,1,0,0,0,2,2
"202",159993,0,0,1,1,0,0,0,2,2
"203",160038,0,0,1,1,0,0,0,2,2
"204",160612,0,1,0,1,0,0,1,2,3
"205",160621,0,0,0,1,0,0,2,2,4
"206",160630,1,1,1,1,2,2,2,2,8
"207",160658,0,0,0,1,0,0,0,2,2
"208",160940,1,1,1,1,2,0,2,2,6
"209",161217,1,1,0,0,2,0,0,0,2
"210",161226,0,0,0,0,1,0,0,0,1
"211",161235,1,1,1,0,2,0,0,0,2
"212",161244,1,1,0,0,2,0,2,0,4
"213",161253,0,0,0,0,0,0,0,0,0
"214",161299,1,0,0,0,2,0,0,0,2
"215",161341,0,1,1,0,1,0,1,0,2
"216",161554,0,0,1,0,0,2,0,0,2
"217",161873,1,0,1,0,2,0,0,0,2
"218",162007,0,0,1,0,0,0,0,0,0
"219",162283,1,1,0,0,2,0,1,0,3
"220",162584,0,0,0,0,0,0,0,0,0
"221",162681,0,0,NA,0,NA,NA,NA,NA,NA
"222",163204,1,1,1,0,2,0,1,0,3
"223",163268,0,0,0,0,0,0,0,0,0
"224",163286,0,0,0,0,0,0,0,0,0
"225",163338,1,1,1,0,2,0,2,0,4
"226",163453,0,0,1,0,0,0,0,0,0
"227",163851,0,0,0,0,0,0,0,0,0
"228",163912,1,0,1,0,2,0,0,0,2
"229",164076,0,0,0,0,0,0,0,0,0
"230",164155,0,0,NA,0,0,2,0,0,2
"231",165024,0,0,0,0,0,0,0,0,0
"232",165820,0,0,0,0,0,0,0,0,0
"233",165866,1,0,0,0,2,0,0,0,2
"234",166513,0,0,0,0,0,0,0,0,0
"235",166629,0,0,0,0,0,0,0,0,0
"236",166638,0,0,1,0,0,0,0,0,0
"237",166674,0,0,0,0,0,0,0,0,0
"238",166692,0,0,1,0,0,2,0,0,2
"239",167288,0,0,0,0,1,0,0,0,1
"240",167729,0,0,0,0,0,0,0,0,0
"241",167987,0,0,0,0,2,0,0,0,2
"242",168263,0,0,0,0,1,0,0,0,1
"243",168430,0,0,0,0,0,0,0,0,0
"244",168607,1,1,0,0,2,0,0,0,2
"245",169248,1,0,1,1,2,0,0,0,2
"246",169798,0,0,1,1,0,0,0,0,0
"247",169910,0,0,1,0,2,0,0,0,2
"248",170082,0,0,0,1,0,0,0,0,0
"249",170240,1,1,0,0,2,0,0,0,2
"250",170444,1,1,0,0,2,0,0,0,2
"251",170620,0,1,1,0,2,0,2,0,4
"252",170639,1,0,1,0,2,0,0,0,2
"253",170976,0,0,0,1,0,0,0,0,0
"254",171100,0,0,0,1,0,0,0,0,0
"255",171128,0,0,0,1,0,0,0,0,0
"256",171137,0,0,0,0,0,0,0,0,0
"257",171146,0,0,0,0,0,0,0,0,0
"258",171456,1,0,0,0,1,0,0,0,1
"259",171483,1,1,0,0,2,0,0,0,2
"260",171571,0,0,1,1,0,2,0,0,2
"261",172051,1,0,0,0,2,0,0,0,2
"262",172200,0,1,1,0,0,0,2,0,2
"263",172644,0,0,0,1,0,0,0,1,1
"264",172699,0,0,0,1,0,0,0,0,0
"265",173124,0,0,0,1,1,0,0,0,1
"266",173920,0,0,0,0,0,0,0,0,0
"267",174020,0,0,1,0,0,0,0,0,0
"268",174066,0,0,1,1,0,0,0,0,0
"269",174075,1,0,0,1,2,0,0,0,2
"270",174233,0,0,1,1,0,0,0,0,0
"271",174251,1,0,1,1,2,2,0,0,4
"272",174358,1,0,0,1,2,0,0,0,2
"273",174783,1,0,0,0,2,0,0,0,2
"274",175078,1,0,0,0,2,0,1,0,3
"275",175272,1,0,0,0,2,0,0,0,2
"276",175342,1,0,0,0,0,0,0,0,0
"277",175616,0,1,0,0,1,0,0,0,1
"278",175856,0,1,0,0,0,0,2,0,2
"279",176017,0,0,0,0,0,0,0,0,0
"280",176035,0,1,0,0,0,0,2,0,2
"281",176044,0,1,1,0,0,0,1,1,2
"282",176080,0,0,0,0,0,0,0,0,0
"283",176372,0,0,0,0,0,0,0,0,0
"284",176965,0,0,0,0,1,0,0,0,1
"285",177551,1,1,1,0,0,0,0,1,1
"286",177940,1,1,0,0,2,0,2,0,4
"287",178341,0,1,1,0,0,0,0,0,0
"288",178387,1,1,1,0,2,0,0,0,2
"289",178396,1,0,0,1,2,0,0,1,3
"290",178402,0,0,1,0,0,2,0,0,2
"291",178411,0,0,1,0,0,2,0,0,2
"292",178420,0,0,1,0,0,2,0,0,2
"293",178615,0,0,1,0,1,0,0,0,1
"294",178624,1,0,0,0,2,0,0,0,2
"295",179557,0,0,0,0,1,0,0,0,1
"296",179566,0,0,0,0,0,0,0,0,0
"297",180179,1,1,0,0,2,0,2,0,4
"298",180416,1,0,1,0,2,0,0,0,2
"299",180461,0,0,0,0,0,0,0,0,0
"300",180489,1,0,1,0,2,0,0,0,2
"301",180522,0,1,1,0,0,2,0,0,2
"302",180692,0,0,1,0,0,1,0,0,1
"303",180948,0,0,0,0,0,0,2,0,2
"304",181215,0,0,0,0,2,0,0,0,2
"305",181242,0,0,1,1,2,2,0,2,6
"306",181394,0,0,0,0,0,0,0,0,0
"307",181400,1,0,0,1,2,0,0,2,4
"308",181464,0,0,0,0,0,0,0,0,0
"309",181534,0,1,0,0,0,0,1,0,1
"310",181783,0,0,0,0,0,0,0,0,0
"311",182281,0,0,0,1,0,0,0,0,0
"312",182290,0,0,0,1,0,0,0,0,0
"313",182306,0,1,0,1,0,0,0,2,2
"314",182500,1,1,0,1,2,0,1,2,5
"315",182564,0,0,0,0,NA,NA,NA,NA,NA
"316",183044,0,0,0,1,0,0,0,1,1
"317",183062,1,0,0,1,2,0,0,0,2
"318",183071,1,0,1,1,2,1,0,0,3
"319",183080,0,0,0,1,0,0,0,0,0
"320",183257,1,1,0,1,2,0,2,0,4
"321",184782,0,0,1,0,0,0,0,0,0
"322",185129,0,0,1,0,0,0,0,0,0
"323",185262,1,0,1,0,0,0,0,0,0
"324",185590,0,0,0,0,0,0,0,0,0
"325",185828,0,0,0,0,0,0,0,0,0
"326",186201,0,0,0,0,0,0,0,0,0
"327",186371,1,0,0,1,0,0,0,2,2
"328",186380,0,0,1,0,0,0,0,0,0
"329",186399,0,0,1,1,0,0,0,2,2
"330",186876,0,0,1,0,0,2,0,0,2
"331",187134,0,0,1,0,0,0,0,0,0
"332",187444,0,0,0,0,0,0,0,0,0
"333",187596,1,1,1,1,2,0,0,2,4
"334",187648,0,1,0,0,2,0,1,0,3
"335",187745,0,1,0,0,0,0,2,0,2
"336",187897,1,1,1,0,2,0,2,0,4
"337",187967,0,0,0,0,2,0,0,0,2
"338",187985,0,0,0,0,1,0,0,0,1
"339",188030,1,0,1,0,0,2,0,0,2
"340",188058,1,1,1,0,2,0,2,0,4
"341",188304,1,1,0,0,2,0,0,0,2
"342",190512,0,0,1,0,0,2,0,0,2
"343",190549,0,0,1,0,0,2,0,0,2
"344",190558,0,0,1,0,0,0,0,0,0
"345",190567,0,0,1,0,0,2,0,0,2
